"","engword","meaning","langgroup","setword"
"1","12","coconut growth stage 12: sprouted","POC","*tabwa"
"2","1p","1p deixis and spatial reference: this; here","PAN","*ti"
"3","1p","1p deixis and spatial reference: this; here","PAN","*i-ti"
"4","1p","1p plural absolute possessive pronoun: ours (incl.)","PMP","*aten"
"5","1p","1p plural absolute possessive pronoun: ours (incl.)","PAN","*iten"
"6","1p","1p. excl., we","POC","*kamami"
"7","1pl","1pl ex oblique","PWMP","*ameq"
"8","1pl","1pl ex oblique","PAN","*amen"
"9","1pl","1pl in oblique","PWMP","*ateq"
"10","1pl","1pl. excl. genitive, our","PAN","*n-ami"
"11","1pl","1pl. excl. genitive, our","PMP","*m-ami"
"12","1pl","1pl. excl. nominative pronoun, we (exclusive)","PAN","*k-ami"
"13","1pl","1pl. excl. nominative pronoun, we (exclusive)","PAN","*ami"
"14","1pl","1pl. excl. nominative, we","PAN","*i-ami"
"15","1pl","1pl. excl., we","PMP","*kam-ami"
"16","1pl","1pl. incl. genitive suffix","PAN","*-ta"
"17","1pl","1pl. incl. nominative and hortative pronoun","POC","*-da1"
"18","1pl","1pl. incl. nominative and hortative pronoun","PAN","*ta-1"
"19","1pl","1pl. incl. possessive pronoun: our","PAN","*ata"
"20","1pl","1pl. incl. possessive suffix","POC","*-da2"
"21","1pl","1pl. incl. subject prefix and possessive suffix; we (incl.); our (incl.)","POC","*da2"
"22","1plex","1pl.ex oblique","PAN","*i-amen"
"23","1sg","1sg genitive (marker of non","PMP","*ni-ku"
"24","1sg","1sg genitive (marker of non","PAN","*-ku"
"25","1sg","1sg nominative; I","PAN","*aku"
"26","1sg","1sg oblique","PAN","*aken1"
"27","1sg","1sg oblique: to me, for me","PAN","*k-aku"
"28","1sg","1sg possessive pronoun; my","POC","*-gu"
"29","1sg","1sg. agent","PMP","*ni aku"
"30","1sg","1sg., I, me","POC","*naku"
"31","1sg","1sg., I, me","PAN","*i-aku"
"32","1sg","1sg.: I","POC ","*<U+014B>au2"
"33","1sg oblique","1sg oblique",NA,"*(near)"
"34","1st","1st pers. incl. genitive; our","PAN","*n-ita"
