"id","name","lat","lon"
1,"Amis (Central)",23.130257185291,121.3330078125
2,"Amis (Farang)",23.333333,121.333333
3,"Amis (Fata'an)",23.333333,121.333333
4,"Atayal - C'uli' F69 (Bandai)",24.5471231797308,121.300048828125
5,"Atayal - C'uli' L04 (Mayrinax)",24.52089,121.38819
6,"Atayal - C'uli' L04 (Skikun)",24.5,121.333333
7,"Atayal - Squliq F69",24.567108352576,121.453857421875
8,"Atayal - Squliq L04",24.5,121.333333
9,"Babuza Ts82",24.00168,120.58462
10,"Basay L04",25.0046,121.857
11,"Basay TsYM91",23.2652036192958,121.913826267022
12,"Bunun (Takituduh L88)",23.41164,121.02534
13,"Bunun F69, Southern",23.2652036192958,121.913826267022
14,"Favorlang F69",23.89588,120.75073
15,"Favorlang OL03",24.0017,120.585
16,"Hoanya Ts82",24.32398,120.57694
17,"Kanakanabu F69",23.044,120.59
18,"Kanakanabu L04",23.3235,120.887
19,"Kavalan F69",24.9163314045991,121.805419921875
20,"Kavalan LTs",24.69475,121.64463
21,"Paiwan (Butanglu L04)",22.5,120.833333
22,"Paiwan (Kulalao F82)",22.289096418723,120.78369140625
23,"Paiwan (Stimul L04)",22.5,120.833333
24,"Paiwan (Tjatjigel Egli)",22.3271,120.806
25,"Paiwan (Tjubar L04)",22.5,120.833333
26,"Papora Ts82",24.32398,120.57694
27,"Pazih F69",23.2652036192958,121.913826267022
28,"Pazih LTs (Auran)",23.75624,120.97577
29,"Proto-Puyuma",22.64302,120.99631
30,"Proto-Tsouic",23.21605,120.78663
31,"Puyuma (Chihpen F69)",22.7837785386086,121.110534667969
32,"Puyuma (Nanwang Cq)",22.64302,120.99631
33,"Rukai (Budai F69)",22.8166941268998,120.91552734375
34,"Rukai (Budai L04)",22.833333,120.833333
35,"Rukai (Maga L04)",22.833333,120.833333
36,"Rukai (Mantauran L04)",22.833333,120.833333
37,"Rukai (Tanan L04)",22.833333,120.833333
38,"Rukai (Tona)",22.833333,120.833333
39,"Saaroa F69",22.811,120.591
40,"Saaroa L04",23.2632,120.711
41,"Saisiyat F69",24.5646103801768,120.995178222656
42,"Seediq F69 (Sakura)",24.1467535947031,121.453857421875
43,"Seediq L04 (Hecuo)",24.166667,121.416667
44,"Seediq L04 (Paran)",24.166667,121.416667
45,"Seediq L04 (Toda)",24.166667,121.416667
46,"Seediq L04 (Truku)",24.166667,121.416667
47,"Siraya F69",22.917922936146,120.76171875
48,"Taokas Ts82",24.00168,120.58462
49,"Thao B96",23.875791916101,120.877075195312
50,"Tsou (Duhtu L04)",23.5,120.75
51,"Tsou T63",23.5,120.75
52,"Agta",18.1980436867627,121.959228515625
53,"Aklanon - Bisayan",11.5338521915105,122.36572265625
54,"Alangan",13.0982,121.022
55,"Arta",16.4185,121.656
56,"Atta, Pamplona",18.12497,120.91553
57,"Ayta Abellen",15.4131,120.2
58,"Ayta Ambala",14.8156,120.283
59,"Ayta Mag-anchi",15.1954,120.459
60,"Ayta Mag-antsi",15.1954,120.459
61,"Ayta Mag-indi",14.9617,120.182
62,"Babuyan",19.5183754786016,121.959228515625
63,"Balangaw",17.17,121.17
64,"Banggi",7.29249,117.17448
65,"Bantik",1.49397130662932,124.8486328125
66,"Bantoanon (Banton)",12.51942,122.03419
67,"Batak, Palawan",10.081456652992,119.536079689071
68,"Batangan",12.6396,121.21
69,"Bikol (Bisakol)",13.7574,123.403
70,"Bikol (Buhinon)",13.19891,123.48979
71,"Bikol (Naga City)",13.58192,123.17871
72,"Bikol (Rinconada)",13.38959,123.3307
73,"Bilaan, Koronadal",6.20529,125.00664
74,"Bilaan, Sarangani",6,125.333333
75,"Binukid",8.25,124.83
76,"Bolaang Mongondow",0.981806749482678,124.764225332537
77,"Bolinao",16.3071,119.853
78,"Bontok, Eastern",17.03193,121.11048
79,"Bontok, Guina-ang",17,121
80,"Bontok, Guina-ang",17.08,120.92
81,"Botolan Sambal",15.2315,120.164
82,"Buhid",12.6396,121.21
83,"Buol",0.97727,121.51903
84,"Butuanon",8.87009,125.41841
85,"Capisano",11.41215,122.95359
86,"Cebuano",10.4337932431844,123.81591796875
87,"Cuyonon",10.32008,119.30028
88,"Dumagat, Casiguran",16.7835055619278,122.01416015625
89,"Dupaningan Agta",17.37477,122.18812
90,"Gaddang",16.55196,121.24512
91,"Gorontalo (Hulondalo)",0.549307991112515,122.67333984375
92,"Hanunoo",12.4159,121.221
93,"Hanunóo",12.4687601448232,121.2451171875
94,"Hiligaynon",-11.2753866926,166.48681640625
95,"Ibaloi",16.42625,120.69508
96,"Ibanag",17.4240286338779,121.9482421875
97,"Ifugao, Amganad",16.8981626896678,120.959618217957
98,"Ifugao, Batad",16.8981626896678,120.959618217957
99,"Ifugao, Bayninan",16.8981626896678,120.959618217957
100,"Ilokano",17.6440220278727,121.11328125
101,"Ilonggo",10.25,123
102,"Ilongot, Kakiduge:n",17.0215281803367,121.114185950016
103,"Imorod",20.76639,121.85211
104,"Inati (Nagpana)",11.1539,122.512
105,"Inibaloi",14.986557930305,122.286669255782
106,"Iranun",6.50635695181804,116.54296875
107,"Iraralay",20.81004,121.86859
108,"Iraya",13.381,120.65
109,"Isamorong",20.72529,121.81915
110,"Isinay (Dupax)",16.3299,121.12
111,"Isneg, Dibagat-Kabugao-Isneg",17.9182391680679,122.13587726436
112,"Itawis",17.73286,121.5796
113,"Itawis",17.7329,121.58
114,"Itbayat",20.7509771440778,121.83837890625
115,"Itbayaten",20.7509771440778,121.83837890625
116,"Itbayaten",20.333333,121.833333
117,"Itneg, Binongan",17.9182391680679,122.13587726436
118,"Ivasay",20.3858253818743,121.9482421875
119,"Ivatan, Basco Dialect",20.5,122
120,"Kagayanen",10.4656,119.872
121,"Kaidipang",0.884364296613886,123.096313476562
122,"Kakiduge:n Ilongot",17.0215281803367,121.114185950016
123,"Kalagan",7.1,125.595
124,"Kalinga (Minangali)",17.34407,121.31148
125,"Kalinga, Guinaang, Lubuagan Dialect",17.58119,121.20117
126,"Kalinga, Limos",17.60813,121.38057
127,"Kalinga, Southern",17.29358,121.06787
128,"Kallahan, Kayapa Proper",16.35177,120.88806
129,"Kallahan, Keleyqiq",16.70197,121.10092
130,"Kankanaey",16.8548,120.68924
131,"Kankanay, Northern",16.8981626896678,120.959618217957
132,"Kapampangan",14.9603,120.502
133,"Kapampangan",14.986557930305,122.286669255782
134,"Kinaray-a",10.81307,122.2969
135,"Koronadal Blaan",6.03131070712582,125.068359375
136,"Maguindanaon",6.9453,124.50856
137,"Malaweg",17.7329,121.58
138,"Mamanwa",9.18887,125.8374
139,"Manide",14.1571,122.835
140,"Manobo, Ata (down-river)",7.66608,124.21623
141,"Manobo, Ata (up-river)",7.70147,124.27391
142,"Manobo, Dibabawon",7.68956,124.24816
143,"Manobo, Ilianen (Kibudtungan Dialect)",7.2208,124.24713
144,"Manobo, Kalamansig Cotabato (Paril Dialect)",7.69075,124.24782
145,"Manobo, Sarangani, Kayaponga Dialect",5.92204,125.22217
146,"Manobo, Tigwa, Iglogsad Dialect",7.64022,124.37897
147,"Manobo, Western Bukidnon",7.67,124.75
148,"Mansaka",7.09544,126.17798
149,"Maranao",7.7218784993245,124.1455078125
150,"Marinduque Tagalog",15,121
151,"Masbatenyo",12.21453,123.63579
152,"Naga Bikol",13.1989,123.49
153,"Palawan Batak",9.76831962330826,119.569541928441
154,"Pangasinan",15.92,120.33
155,"Ponosakan",0.9172,124.712
156,"Ratagnon",12.2785,121.187
157,"Romblon",12.40466,122.56031
158,"S.W. Palawano",8.5538618,117.3367309
159,"Samar-Leyte",12,125
160,"Sambal",15.5797,120.095
161,"Sambal, Botolan",15.26299,120.20142
162,"Sangil, Saragani Islands",9.93842,125.07797
163,"Sangir",1.41709182944164,125.211181640625
164,"Sangir, Tabukang Dialect",3.5,125.5
165,"Sarangani Blaan",5.87833210967433,125.33203125
166,"Sinauna",14.62541,121.45323
167,"Sogodnin (Boracay)",11.1539,122.512
168,"Sogodnin (Iloilo)",11.1539,122.512
169,"Subanon, Siocon",7.81479247850091,123.193018260784
170,"Subanun, Sindangan",8.02833448071282,123.320544612578
171,"Surigaonon",8.83829831149302,125.62105490998
172,"Tadyawan",13.0211,121.305
173,"Tagabili",6.17,124.5
174,"Tagalog",14.5623177019149,121.0693359375
175,"Tagalog",14.111058552195,121.879257723817
176,"Tagalog (Anthony dela Paz)",14.111058552195,121.879257723817
177,"Tagbanwa, Aborlan Dialect",10.081456652992,119.536079689071
178,"Tagbanwa, Kalamian, Coron Island Dialect",11.4475630345007,120.644042490729
179,"Tausug, Jolo Dialect",5.70411960668088,121.268401294372
180,"Tboli (Tagabili)",6.22793393026867,124.354248046875
181,"Tiruray",6.77321,124.12673
182,"Tonsea",1.51393,125.05212
183,"Tontemboan",1.16447060718061,124.56298828125
184,"Umiray Dumaget",14.8757,121.508
185,"Waray-Waray",12,125
186,"Western Bukidnon Manobo",7.66744148272607,124.716796875
187,"Yami",21.1126871176768,121.953735351562
188,"Yami",23.2652036192958,121.913826267022
189,"Yogad",16.70149,121.71773
190,"Acehnese",3.90757,96.60325
191,"Andio",-0.8837,123.174
192,"Bahonsuai",-2.2257,121.707
193,"Bajo",-3.16246,119.53125
194,"Bajo (Anaiwoi)",-4.434044,121.552734375
195,"Bajo (Bajoe)",-4.54357,120.256347
196,"Bajo (Boepinang)",-4.696879026,121.607666015625
197,"Bajo (Kaleroang)",-3.01984110616897,122.398681640625
198,"Bajo (Kayuadi)",-6.7737162387535,120.78369140625
199,"Bajo (Kolo Bawah)",-1.64772205179692,121.83837890625
200,"Bajo (Lakaramba)",-4.54630822474438,122.725524902344
201,"Bajo (Lakonea)",-4.7078283752183,123.145751953125
202,"Bajo (Langara Laut)",-4.03961782676842,122.969970703125
203,"Bajo (Lapulu)",-4.42309047796092,122.228393554688
204,"Bajo (Lauru)",-4.81731231582612,122.047119140625
205,"Bajo (Lemo Bajo)",-4.05057678613347,122.54150390625
206,"Bajo (Luwuk)",-1.09856549604066,122.607421875
207,"Bajo (Moramo)",-4.17111545486,122.689819335938
208,"Bajo (Padei Laut)",-3.57373032012654,123.118286132812
209,"Bajo (Pitulua)",-3.51342104564004,121.0693359375
210,"Balinese",-8.32021228952294,115.0927734375
211,"Banggai (W.dialect)",-1.60653993431162,123.513793945312
212,"Bangka Malay",-1.7329,105.897
213,"Banjarese Malay",-1.19701784735807,113.354967120357
214,"Bare'e",-1.75,120.83
215,"Belait",4.43404,114.33472
216,"Berawan (Long Terawan)",3.95194,114.64233
217,"Besemah",-3.60114,103.0957
218,"Bintulu",2.96882635733302,112.440793931919
219,"Bonerate",-7.38970540131017,121.788940429688
220,"Bukat",1.1864386394452,113.291015625
221,"Bundu Dusun (Central Dusun)",6.02998,116.68089
222,"Bungku",-3.222,122.212
223,"Bungku (Landawe)",-3.222,122.212
224,"Bungku (Routa)",-3.222,122.212
225,"Bungku (Torete)",-3.222,122.212
226,"Bungku (Tulambatu)",-3.222,122.212
227,"Bungku (Waia)",-3.222,122.212
228,"Cham, Western",12,105.5
229,"Chru",11.5,108.5
230,"Dayak Bakatiq-Sara/Riok",1.05463,109.42383
231,"Dayak Ngaju",1.416667,109.833333
232,"Dayak Ngaju",-2.67969,114.47754
233,"Dusun Tuhauon (Tambunan)",5.68284,116.3726
234,"Hainan Cham",18.25,109.5
235,"Iban",0.527336304811517,112.7197265625
236,"Ida'an",5.06906,118.25684
237,"Inabaknon",12.41981,124.16679
238,"Indonesian",-3.59419889631258,108.183319082899
239,"Jambi Malay",-2.6469,103.13
240,"Jarai",13.69433,108.14356
241,"Kadazan Dusun of Taginambur, Kota Belud, Sabah, Malaysia",6.1424,117.176
242,"Kadorih",-0.3955,113.46875
243,"Kambowa",-4.9901,122.951
244,"Katingan",-1.36217634666416,113.75244140625
245,"Kayan (Uma Juman)",1.31824,111.70898
246,"Kelabit (Bario)",3.67,115.42
247,"Kenyah (Long Anap)",4.48881,114.06006
248,"Kerinci",-2.24063960938272,101.6015625
249,"Kioko",-4.9901,122.951
250,"Kodeoha",-3.222,122.212
251,"Koroni",-2.6367,121.977
252,"Kulisusu",-4.5841,123.045
253,"Lahanan",2.49037,114.67255
254,"Lahat (Central Malay)",-3.7967,103.137
255,"Lebo' Vo'",3.5444,114.039
256,"Lepo' Gah",3.5444,114.039
257,"Lepo' Laang",3.5444,114.039
258,"Lepo' Sawa",3.5444,114.039
259,"Lepo' Tau",3.5444,114.039
260,"Lom (Mapurese)",-1.7329,105.897
261,"Low Malay (1773)",3.166667,101.7
262,"Lundayeh",3.9244,115.86096
263,"Ma'anyan",-2.34878701781515,114.85075347668
264,"Malagasy (Sakalava)",-20.28,44.32
265,"Malagasy (Tanala)",-19.5907,47.1211
266,"Malagasy (Tandroy)",-24.8015,45.9
267,"Malay (Bahasa Indonesia)",-6.66461,106.875
268,"Mapun",9.583333,121.2
269,"Melanau (Mukah)",2.5,111.5
270,"Melayu",3,102
271,"Melayu Ambon",-4,128
272,"Melayu Brunei (Dialect)",4.54905,114.57092
273,"Melayu Sarawak (dialect)",3.166667,101.7
274,"Merina (Malagasy)",-19.3940678953966,46.845703125
275,"Minangkabau",-0.65916514628945,100.92041015625
276,"Modang",0.06042,111.34094
277,"Mori",-2.48213340373056,121.31103515625
278,"Mori Atas (Doule)",-2.2555,121.035
279,"Mori Atas (Impo)",-2.2555,121.035
280,"Mori Atas (Kolo-Kolo)",-2.2555,121.035
281,"Mori Atas (Lolonggoio)",-2.2555,121.035
282,"Mori Atas (Molio'A)",-2.2555,121.035
283,"Mori Atas (Molongkuni)",-2.2555,121.035
284,"Mori Atas (Olota)",-2.2555,121.035
285,"Mori Atas (Tambee)",-2.2555,121.035
286,"Mori Atas (Ulu'Uwoi)",-2.2555,121.035
287,"Mori Atas (Wulanderi)",-2.2555,121.035
288,"Mori Bawah (<U+014A>gusumbatu)",-2.5602,121.37
289,"Mori Bawah (Bahano)",-2.5602,121.37
290,"Mori Bawah (Kangua)",-2.5602,121.37
291,"Mori Bawah (Karunsi'E)",-2.5602,121.37
292,"Mori Bawah (Mo'Iki)",-2.5602,121.37
293,"Mori Bawah (Petasia)",-2.5602,121.37
294,"Mori Bawah (Roda)",-2.5602,121.37
295,"Mori Bawah (Soroako)",-2.5602,121.37
296,"Mori Bawah (Tofatu)",-2.5602,121.37
297,"Mori Bawah (Watu)",-2.5602,121.37
298,"Moronene",-4.6236,121.824
299,"Moronene (Mornene)",-4.6236,121.824
300,"Moronene (Tokotu'A)",-4.6236,121.824
301,"Muna (Katobu-Tongkuno Dialect)",-5.11957755314463,122.914952489225
302,"Ogan",-2.69797689175062,104.915771372616
303,"Padoe",-2.6064,121.236
304,"Paser",-1.8026,115.876
305,"Phan Rang Cham (Eastern Cham)",11.3347096546263,109.045927013325
306,"Popalia",-4.25877,122.47559
307,"Punan Kelai",2.43823,116.71875
308,"Rhade",12.979,108.40989
309,"Roglai, Northern",12.19672,108.8486
310,"Sama (Pangutaran)",6.27167,120.53586
311,"Sama (Sibutu)",5.13894,119.92596
312,"Samal, Siasi Dialect",5.53945,120.84961
313,"Sasak",-8.66791800236312,116.279296875
314,"Singhi",1.31824,110.34668
315,"Sumbawa",-8.71919,117.47199
316,"Taloki",-4.6478,122.872
317,"Ternate (Pasar-Lingua franca)",-0.86437,128.32323
318,"Timugon (Murut)",5,116
319,"Tolaki",-4.03577,121.88825
320,"Tolaki (Asera)",-4.0358,121.888
321,"Tolaki (Konawe)",-4.0358,121.888
322,"Tolaki (Laiwui)",-4.0358,121.888
323,"Tolaki (Mekongga)",-4.0358,121.888
324,"Tolaki (Wiwirano)",-4.0358,121.888
325,"Tomadino",-2.5649,121.944
326,"Tomini (Tialo)",0.42569,120.89031
327,"Totoli",1.14995,120.87458
328,"Tunjung",-1.20840649727186,116.03759765625
329,"Uma (Kantewu dialect)",-1.7042,119.968
330,"Urak Lawoi'",8,98.333333
331,"Waru",-3.412,122.058
332,"Waru (Lalomerui)",-3.412,122.058
333,"Wawonii",-4.1359,123.1
334,"Wawonii (Menui)",-4.1359,123.1
