"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"1","Balinese","ban",-8.33,115.25,"Indonesia","Made Denes","Balinese shows dialect variation for final [a] ~ [E] and list includes both forms.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 294","Number of Retentions: Proto Malayo-Polynesian:96","Number of Loans: 9","Austronesian:Malayo-Polynesian:Bali-Sasak-Sumbawa","http://wals.info/languoid/lect/wals_code_bal","http://www.ethnologue.com/show_language.asp?code=ban"
"2","Banggai (W.dialect)","bgz",-1.42,123.17,"Indonesia","Van den Bergh (1953)","Van Den Bergh, J. D. (1953). Spraakkunst van het Banggais. The Hague: Nijhoff.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 208","Number of Retentions: Proto Malayo-Polynesian:66","Number of Loans: 4","Austronesian:Malayo-Polynesian:Celebic:Eastern:Saluan-Banggai:Eastern","http://wals.info/languoid/lect/wals_code_bgg","http://www.ethnologue.com/show_language.asp?code=bgz"
"3","Banggi","bdg",NA,NA,NA,"Blust, from Schneeberger","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 159","Number of Retentions: Proto Malayo-Polynesian:73","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Palawanic",NA,"http://www.ethnologue.com/show_language.asp?code=bdg"
"4","Banoni","bcm",-6.42,155.25,"Papua New Guinea","Blust, from Lincoln (1975)","Lincoln, Peter C. (1975) English-Banoni finder list. typescript.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 254","Number of Retentions: Proto Malayo-Polynesian:53","Proto-Oceanic:63Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Piva-Banoni","http://wals.info/languoid/lect/wals_code_bnn","http://www.ethnologue.com/show_language.asp?code=bcm"
"5","Bantik","bnq",1.42,124.75,"Indonesia","L. Theddon","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 232","Number of Retentions: Proto Malayo-Polynesian:91","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Sangiric:Southern","http://wals.info/languoid/lect/wals_code_bnt","http://www.ethnologue.com/show_language.asp?code=bnq"
"6","Gayo","gay",4.5,97.5,"Indonesia","Drs. Ahmad Banta","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 238","Number of Retentions: Proto Malayo-Polynesian:101","Number of Loans: 4","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_gay","http://www.ethnologue.com/show_language.asp?code=gay"
"7","Gedaged","gdd",NA,NA,NA,"Blust, From: Mager (1952)","Mager, J.F. (1952). Gedaged-English Dictionary. Columbus, Ohio: Board of Foreign Missions of the American Lutheran Church.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 269","Number of Retentions: Proto Malayo-Polynesian:75","Proto-Oceanic:96Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Ngero-Vitiaz:Vitiaz:Bel",NA,"http://www.ethnologue.com/show_language.asp?code=gdd"
"8","Geser","ges",NA,NA,NA,"Jim Collins","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 203","Number of Retentions: Proto Malayo-Polynesian:88","Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:East:Banda-Geser:Geser-Gorom",NA,"http://www.ethnologue.com/show_language.asp?code=ges"
"9","Ghari","gri",NA,NA,NA,"Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 191","Number of Retentions: Proto Malayo-Polynesian:68","Proto-Oceanic:85Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Southeast Solomonic:Gela-Guadalcanal:Guadalcanal",NA,"http://www.ethnologue.com/show_language.asp?code=gri"
"10","Gimán","gzn",NA,NA,NA,"Dick Teljeur","Villages of Gane Dalam and Gane Luar in South Halmahera","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 238","Number of Retentions: Proto Malayo-Polynesian:50","Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:South Halmahera-West New Guinea:South Halmahera:East Makian-Gane",NA,"http://www.ethnologue.com/show_language.asp?code=gzn"
"11","Fijian (Bau)","fij",-17.83,178,"Fiji","Blust from: Capell (1968)","Capell, A. (1968). Lexicostatistical study of the languages of Choiseul Island, British Solomon Islands. Pacific Linguistics, Series A, Occasional Papers, No. 15.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 229","Number of Retentions: Proto Malayo-Polynesian:84","Proto-Oceanic:115Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:East Fijian","http://wals.info/languoid/lect/wals_code_fij","http://www.ethnologue.com/show_language.asp?code=fij"
"12","Gorontalo (Hulondalo)","gor",0.5,122,"Indonesia","Hamzah Machmoed","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 216","Number of Retentions: Proto Malayo-Polynesian:69","Number of Loans: 3","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Gorontalo-Mongondow:Gorontalic","http://wals.info/languoid/lect/wals_code_grt","http://www.ethnologue.com/show_language.asp?code=gor"
"13","Hanunóo","hnn",12.33,121.25,"Philippines","Blust, from: Conklin (1953)","Conklin, H. (1953). Hanunóo-English Vocabulary. University of California Publications in Linguistics, Volume 9.University of California Press: Berkeley.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 249","Number of Retentions: Proto Malayo-Polynesian:103","Number of Loans: 4","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:South Mangyan:Hanunoo","http://wals.info/languoid/lect/wals_code_hnn","http://www.ethnologue.com/show_language.asp?code=hnn"
